date,high,low,open,close,volume,quoteVolume,weightedAverage
1405699200,0.00419963,0.0038001,0.0038001,0.00419963,0.07184705,17.32959584,0.00414591
1405713600,0.00419963,0.00419963,0.00419963,0.00419963,0,0,0.00419963
1405728000,0.00360013,0.00304,0.00360013,0.0031,1.64046605,498.89999998,0.00328816
1405742400,0.0031,0.0031,0.0031,0.0031,0,0,0.0031
1405756800,0.00399593,0.00399507,0.00399566,0.00399593,0.15367325,38.46471292,0.00399517
1405771200,0.00339047,0.00339046,0.00339047,0.00339046,0.04486377,13.2323535,0.00339046
1405785600,0.00339046,0.00339046,0.00339046,0.00339046,0,0,0.00339046
1405800000,0.004,0.00399998,0.00399998,0.004,0.112,28.00000914,0.00399999
1405814400,0.004,0.004,0.004,0.004,0,0,0.004
1405828800,0.004,0.004,0.004,0.004,0.04,10,0.004
1405843200,0.004,0.004,0.004,0.004,0.09179476,22.94869,0.004
1405857600,0.004,0.004,0.004,0.004,0.16,40,0.004
1405872000,0.00414855,0.004,0.004,0.00414855,0.78090328,192,0.0040672
1405886400,0.00381001,0.00381001,0.00381001,0.00381001,0.00381001,1,0.00381001
1405900800,0.00414854,0.00399999,0.00414852,0.00414854,0.03440717,8.40124912,0.00409548
1405915200,0.00428916,0.00414854,0.00414854,0.00428916,1.62858275,383.80545953,0.00424325
1405929600,0.00447989,0.00430147,0.00430147,0.00447989,0.05778824,12.98000001,0.00445209
1405944000,0.00447885,0.00400161,0.00410212,0.00447885,0.29626275,71.50563665,0.0041432
1405958400,0.00410333,0.0041,0.00410333,0.0041,0.24255258,59.154418,0.00410032
1405972800,0.00410001,0.00399999,0.0041,0.00399999,0.69708175,170.83940135,0.00408033
1405987200,0.00399999,0.00399999,0.00399999,0.00399999,0,0,0.00399999
1406001600,0.00410012,0.00381003,0.00410009,0.00381015,0.22432046,57.49783783,0.00390137
1406016000,0.00381002,0.00380001,0.00381002,0.00380001,0.06428322,16.90335095,0.00380298
1406030400,0.00380001,0.0037001,0.00380001,0.003701,0.1714314,45.97657962,0.00372866
1406044800,0.00399958,0.00360001,0.00399958,0.00360001,0.99848004,269.66748893,0.00370263
1406059200,0.0037,0.0036,0.0036,0.00360001,1.53638616,415.50191251,0.00369766
1406073600,0.0037,0.00360001,0.00369999,0.0037,7.11672452,1923.57029164,0.00369974
1406088000,0.0037,0.00365,0.0037,0.00365,2.11883728,580.43580555,0.00365042
1406102400,0.00365,0.00365,0.00365,0.00365,0,0,0.00365
1406116800,0.00399799,0.0037,0.00372003,0.00399799,1.96841206,530.37323781,0.00371137
1406131200,0.00399799,0.00399799,0.00399799,0.00399799,0,0,0.00399799
1406145600,0.00409639,0.0038,0.00399799,0.0038,0.77028788,194.71563856,0.00395596
1406160000,0.00380001,0.00379998,0.00380001,0.0038,0.38569781,101.49945089,0.00379999
1406174400,0.00389498,0.0038,0.0038,0.00389498,0.13788064,36.28367448,0.00380007
1406188800,0.00409,0.00399235,0.00399235,0.00409,0.00499276,1.22138386,0.00408779
1406203200,0.0040964,0.00385,0.00409,0.00385,2.22680007,570.74846329,0.00390154
1406217600,0.00385,0.00385,0.00385,0.00385,1.95774516,508.50523665,0.00385
1406232000,0.004,0.00327,0.00371403,0.004,1.63996408,474.91127491,0.0034532
1406246400,0.00371501,0.003715,0.00371501,0.003715,0.22393901,60.27963985,0.003715
1406260800,0.00399989,0.00372,0.00372,0.00399989,0.77693915,207.20669095,0.00374958
1406275200,0.004,0.00372,0.00373,0.00372,12.21188354,3055.09259206,0.00399722
1406289600,0.00372051,0.00372051,0.00372051,0.00372051,0.0036833,0.99,0.00372051
1406304000,0.00407,0.00372001,0.00373002,0.00407,0.21906915,56.18427445,0.00389911
1406318400,0.00422097,0.00422097,0.00422097,0.00422097,0.0422097,10,0.00422097
1406332800,0.00422097,0.00422097,0.00422097,0.00422097,0,0,0.00422097
1406347200,0.00421997,0.00421997,0.00421997,0.00421997,0.00843994,2,0.00421997
1406361600,0.00410001,0.00372362,0.00410001,0.00372362,0.00785372,2.09670632,0.00374574
1406376000,0.00421994,0.00421992,0.00421992,0.00421993,0.02170867,5.1443314,0.00421992
1406390400,0.00378542,0.003274,0.00378542,0.003274,4.00029532,1104.67146787,0.00362125
1406404800,0.00380788,0.00380788,0.00380788,0.00380788,0.00010999,0.02888746,0.00380788
1406419200,0.00380788,0.00380788,0.00380788,0.00380788,0,0,0.00380788
1406433600,0.00380788,0.00380788,0.00380788,0.00380788,0,0,0.00380788
1406448000,0.00390643,0.003302,0.00390643,0.003302,0.09650131,28.97693225,0.00333028
1406462400,0.00390098,0.00390098,0.00390098,0.00390098,0.00390098,1,0.00390098
1406476800,0.00390097,0.00331,0.00390097,0.00331,0.51147156,147.8116572,0.00346029
1406491200,0.00372294,0.00372104,0.00372294,0.00372109,0.03872037,10.40507067,0.00372129
1406505600,0.00372109,0.00372109,0.00372109,0.00372109,0,0,0.00372109
1406520000,0.00359995,0.00359995,0.00359995,0.00359995,0.00035999,0.1,0.00359995
1406534400,0.00359988,0.0034,0.00345,0.00359988,0.35346707,103.35466207,0.00341994
1406548800,0.00331044,0.0032,0.00331044,0.0032,1.33404686,415.69813148,0.00320917
1406563200,0.0036001,0.00285015,0.00320003,0.00285022,1.34067099,394.47407878,0.00339862
1406577600,0.00300077,0.00300075,0.00300077,0.00300075,0.03338005,11.12388025,0.00300075
1406592000,0.00301239,0.00301239,0.00301239,0.00301239,0.00301239,1,0.00301239
1406606400,0.00301357,0.00301101,0.00301357,0.00301101,0.49483277,164.31387084,0.0030115
1406620800,0.00301101,0.00301101,0.00301101,0.00301101,0,0,0.00301101
1406635200,0.00355507,0.00306011,0.00306011,0.00355507,0.09192548,26.14295335,0.00351626
1406649600,0.00355313,0.00306101,0.00306101,0.00355212,0.08419516,25.53088197,0.00329777
1406664000,0.00344946,0.00344946,0.00344946,0.00344946,0.03794406,11,0.00344946
1406678400,0.0036001,0.00344464,0.00344464,0.0036001,0.69998256,197.35733868,0.00354677
1406692800,0.0037242,0.0036001,0.0036001,0.0037242,1.2099101,327.12142709,0.00369865
1406707200,0.0037242,0.0037242,0.0037242,0.0037242,0,0,0.0037242
1406721600,0.00442198,0.003202,0.00320201,0.00442198,1.84332086,458.83566,0.00401738
1406736000,0.004421,0.004421,0.004421,0.004421,0.25475974,57.62491517,0.004421
1406750400,0.00445,0.00388015,0.0044202,0.00388015,1.80974797,410.32086064,0.00441056
1406764800,0.00409631,0.00388016,0.00391003,0.00388016,0.1090322,27.9105632,0.00390648
1406779200,0.00459598,0.00408929,0.00408929,0.00459598,3.93286363,900.19821071,0.00436888
1406793600,0.00459595,0.00398126,0.00459595,0.00398126,0.56669826,133.03607793,0.00425973
1406808000,0.0043225,0.00398126,0.0043225,0.00398126,0.31805024,78.25525145,0.00406426
1406822400,0.00448104,0.00419226,0.00419262,0.00447691,1.34196023,314.62033481,0.00426533
1406836800,0.00440111,0.00421,0.00440111,0.00421,0.35720849,84.42,0.00423132
1406851200,0.00420111,0.00419227,0.00420111,0.00419227,0.15469514,36.87804135,0.00419477
1406865600,0.00439407,0.00439407,0.00439407,0.00439407,0.04082697,9.29138,0.00439407
1406880000,0.00395003,0.00395,0.00395002,0.00395002,0.07768183,19.66623141,0.00395001
1406894400,0.00434668,0.00434601,0.00434602,0.00434668,0.07390408,17.00351901,0.00434639
1406908800,0.0043487,0.0039973,0.00400523,0.0039973,0.16996071,42.21270226,0.00402629
1406923200,0.0039973,0.0039973,0.0039973,0.0039973,0,0,0.0039973
1406937600,0.00399766,0.00399766,0.00399766,0.00399766,0.00199295,0.49853039,0.00399766
1406952000,0.00430196,0.00423557,0.00423557,0.00430196,0.23777526,55.41381969,0.0042909
1406966400,0.0043003,0.0043,0.0043003,0.0043,0.0749637,17.43307007,0.00430008
1406980800,0.00400002,0.004,0.00400002,0.004,0.30000029,75,0.004
1406995200,0.0043204,0.00388016,0.00431975,0.00388016,0.67246582,162.53295461,0.00413741
1407009600,0.00424698,0.0036668,0.0036668,0.00424698,0.14901425,35.10089916,0.00424531
1407024000,0.0042,0.00419842,0.00419842,0.0042,0.05458133,13,0.00419856
1407038400,0.00411395,0.00411394,0.00411395,0.00411394,0.03850647,9.35999868,0.00411394
1407052800,0.00411395,0.00381268,0.00411395,0.00381268,0.02019701,5.29686688,0.00381301
1407067200,0.00381268,0.00381268,0.00381268,0.00381268,0,0,0.00381268
1407081600,0.00416718,0.00368026,0.00381268,0.00416715,0.1769115,42.73051836,0.00414016
1407096000,0.00416715,0.00416715,0.00416715,0.00416715,0,0,0.00416715
1407110400,0.00416715,0.00416715,0.00416715,0.00416715,0,0,0.00416715
1407124800,0.00416709,0.0037,0.00392099,0.00416709,0.48357419,128.88183244,0.00375207
